,date,home_team,away_team,winner,first_shooter
454,2014-06-05,Occitania,Iraqi Kurdistan,Iraqi Kurdistan,Unknown
455,2014-06-07,Padania,Iraqi Kurdistan,Padania,Unknown
456,2014-06-08,County of Nice,Ellan Vannin,County of Nice,Unknown
457,2014-06-28,Brazil,Chile,Brazil,Brazil
458,2014-06-29,Costa Rica,Greece,Costa Rica,Costa Rica
459,2014-07-05,Netherlands,Costa Rica,Netherlands,Costa Rica
460,2014-07-09,Netherlands,Argentina,Argentina,Netherlands
461,2015-01-23,Iran,Iraq,Iraq,Iran
462,2015-01-23,Japan,United Arab Emirates,United Arab Emirates,Japan
463,2015-01-30,Curaçao,Aruba,Aruba,Unknown
464,2015-02-07,Equatorial Guinea,DR Congo,DR Congo,Equatorial Guinea
465,2015-02-08,Ivory Coast,Ghana,Ivory Coast,Ghana
466,2015-05-24,Zambia,Namibia,Namibia,Unknown
467,2015-05-24,South Africa,Botswana,Botswana,Unknown
468,2015-05-25,Mozambique,Malawi,Mozambique,Unknown
469,2015-05-27,South Africa,Malawi,Malawi,Unknown
470,2015-06-21,Ellan Vannin,Felvidék,Ellan Vannin,Unknown
471,2015-06-26,Argentina,Colombia,Argentina,Colombia
472,2015-06-27,Brazil,Paraguay,Paraguay,Brazil
473,2015-07-02,Gibraltar,Åland Islands,Åland Islands,Unknown
474,2015-07-04,Chile,Argentina,Chile,Chile
475,2015-07-19,Trinidad and Tobago,Panama,Panama,Panama
476,2015-07-25,United States,Panama,Panama,United States
477,2015-10-13,El Salvador,Guatemala,Guatemala,Unknown
478,2016-05-27,Corsica,Basque Country,Basque Country,Unknown
479,2016-06-01,United Koreans in Japan,Northern Cyprus,Northern Cyprus,Unknown
480,2016-06-02,Iraqi Kurdistan,Padania,Padania,Unknown
481,2016-06-03,Bosnia and Herzegovina,Denmark,Bosnia and Herzegovina,Unknown
482,2016-06-03,Thailand,Syria,Thailand,Unknown
483,2016-06-03,Vietnam,Hong Kong,Vietnam,Unknown
484,2016-06-03,Iraqi Kurdistan,Western Armenia,Western Armenia,Unknown
485,2016-06-03,Chagos Islands,Raetia,Raetia,Unknown
486,2016-06-04,United Koreans in Japan,Iraqi Kurdistan,United Koreans in Japan,United Koreans in Japan
487,2016-06-05,Abkhazia,Panjab,Abkhazia,Unknown
488,2016-06-11,Papua New Guinea,New Zealand,New Zealand,New Zealand
489,2016-06-17,Peru,Colombia,Colombia,Colombia
490,2016-06-18,Namibia,Botswana,Botswana,Unknown
491,2016-06-18,South Africa,Lesotho,South Africa,Unknown
492,2016-06-19,Zambia,Eswatini,Eswatini,Unknown
493,2016-06-22,Botswana,DR Congo,Botswana,Unknown
494,2016-06-25,Switzerland,Poland,Poland,Switzerland
495,2016-06-26,Argentina,Chile,Chile,Chile
496,2016-06-30,Poland,Portugal,Portugal,Portugal
497,2016-07-02,Germany,Italy,Germany,Italy
498,2016-08-01,Felvidék,Kárpátalja,Felvidék,Unknown
499,2017-01-11,Chile,Croatia,Chile,Unknown
500,2017-01-14,China PR,Croatia,China PR,Unknown
501,2017-01-28,Senegal,Cameroon,Cameroon,Senegal
502,2017-02-01,Burkina Faso,Egypt,Egypt,Egypt
503,2017-06-09,Kárpátalja,Ellan Vannin,Kárpátalja,Unknown
504,2017-06-09,Padania,Abkhazia,Padania,Unknown
505,2017-06-10,Northern Cyprus,Padania,Padania,Unknown
506,2017-06-28,Portugal,Chile,Chile,Chile
507,2017-06-29,Hitra,Western Isles,Western Isles,Unknown
508,2017-06-29,Greenland,Menorca,Greenland,Unknown
509,2017-07-01,Namibia,Lesotho,Lesotho,Unknown
510,2017-07-07,Tanzania,Lesotho,Tanzania,Unknown
511,2017-07-16,Thailand,Belarus,Thailand,Unknown
512,2018-03-21,South Africa,Angola,South Africa,Unknown
513,2018-03-21,Zambia,Zimbabwe,Zambia,Unknown
514,2018-03-22,Thailand,Gabon,Thailand,Unknown
515,2018-03-24,Angola,Zimbabwe,Angola,Unknown
516,2018-06-02,Zambia,Namibia,Zambia,Unknown
517,2018-06-03,Andorra,Cape Verde,Cape Verde,Unknown
518,2018-06-03,South Africa,Madagascar,Madagascar,Unknown
519,2018-06-03,Zimbabwe,Botswana,Zimbabwe,Unknown
520,2018-06-05,Matabeleland,Kabylia,Kabylia,Unknown
521,2018-06-06,Lesotho,Zimbabwe,Zimbabwe,Unknown
522,2018-06-09,Tibet,United Koreans in Japan,United Koreans in Japan,Unknown
523,2018-06-09,Panjab,Cascadia,Panjab,Unknown
524,2018-06-09,Padania,Székely Land,Padania,Unknown
525,2018-06-09,Northern Cyprus,Kárpátalja,Kárpátalja,Unknown
526,2018-07-01,Russia,Spain,Russia,Spain
527,2018-07-01,Croatia,Denmark,Croatia,Denmark
528,2018-07-03,Colombia,England,England,Colombia
529,2018-07-07,Russia,Croatia,Croatia,Russia
530,2019-01-20,Jordan,Vietnam,Vietnam,Vietnam
531,2019-01-21,Australia,Uzbekistan,Australia,Australia
532,2019-03-23,Oman,Singapore,Oman,Unknown
533,2019-05-11,Guernsey,Jersey,Jersey,Unknown
534,2019-06-01,Lesotho,Uganda,Lesotho,Unknown
535,2019-06-02,South Africa,Botswana,Botswana,Unknown
536,2019-06-02,Zambia,Malawi,Zambia,Unknown
537,2019-06-04,South Africa,Uganda,South Africa,Unknown
538,2019-06-05,Zimbabwe,Zambia,Zambia,Unknown
539,2019-06-06,Abkhazia,Western Armenia,Western Armenia,Unknown
540,2019-06-06,South Ossetia,Chameria,South Ossetia,Unknown
541,2019-06-07,Lesotho,Zimbabwe,Zimbabwe,Unknown
542,2019-06-07,South Africa,Malawi,South Africa,Unknown
543,2019-06-08,Abkhazia,Chameria,Abkhazia,Unknown
544,2019-06-09,Switzerland,England,England,England
545,2019-06-27,Brazil,Paraguay,Brazil,Paraguay
546,2019-06-28,Colombia,Chile,Chile,Colombia
547,2019-06-29,Mexico,Costa Rica,Mexico,Mexico
548,2019-06-29,Uruguay,Peru,Peru,Uruguay
549,2019-07-05,Morocco,Benin,Benin,Benin
550,2019-07-07,Madagascar,DR Congo,Madagascar,Madagascar
551,2019-07-08,Ghana,Tunisia,Tunisia,Ghana
552,2019-07-11,Ivory Coast,Algeria,Algeria,Algeria
553,2019-07-28,Mauritius,Réunion,Réunion,Unknown
554,2019-09-08,Tanzania,Burundi,Tanzania,Tanzania
555,2019-10-13,Chad,Liberia,Chad,Unknown
556,2019-10-13,Gambia,Djibouti,Gambia,Unknown
557,2020-10-08,Bosnia and Herzegovina,Northern Ireland,Northern Ireland,Bosnia and Herzegovina
558,2020-10-08,Slovakia,Republic of Ireland,Slovakia,Slovakia
559,2020-10-08,Scotland,Israel,Scotland,Scotland
560,2020-11-12,Serbia,Scotland,Scotland,Scotland
561,2021-06-03,Mexico,Costa Rica,Mexico,Mexico
562,2021-06-06,Honduras,Costa Rica,Honduras,Costa Rica
563,2021-06-28,France,Switzerland,Switzerland,Switzerland
564,2021-07-02,Peru,Paraguay,Peru,Paraguay
565,2021-07-02,Switzerland,Spain,Spain,Spain
566,2021-07-03,Uruguay,Colombia,Colombia,Colombia
567,2021-07-06,Italy,Spain,Italy,Italy
568,2021-07-06,Trinidad and Tobago,French Guiana,Trinidad and Tobago,French Guiana
569,2021-07-06,Argentina,Colombia,Argentina,Colombia
570,2021-07-06,Guatemala,Guadeloupe,Guadeloupe,Guatemala
571,2021-07-11,England,Italy,Italy,Italy
572,2021-07-16,Senegal,Eswatini,Senegal,Eswatini
573,2021-07-18,Eswatini,Mozambique,Eswatini,Mozambique
574,2021-07-18,South Africa,Senegal,South Africa,South Africa
575,2021-11-19,Sri Lanka,Seychelles,Seychelles,Unknown
576,2021-12-11,Morocco,Algeria,Algeria,Algeria
577,2021-12-18,Qatar,Egypt,Qatar,Qatar
578,2022-01-23,Burkina Faso,Gabon,Burkina Faso,Gabon
579,2022-01-26,Ivory Coast,Egypt,Egypt,Ivory Coast
580,2022-01-26,Mali,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
581,2022-02-03,Cameroon,Egypt,Egypt,Cameroon
582,2022-02-05,Cameroon,Burkina Faso,Cameroon,Cameroon
583,2022-02-06,Senegal,Egypt,Senegal,Senegal
584,2022-03-25,Tajikistan,Uganda,Uganda,Unknown
585,2022-03-29,Kazakhstan,Moldova,Kazakhstan,Moldova
586,2022-03-29,Senegal,Egypt,Senegal,Senegal
587,2022-06-13,Australia,Peru,Australia,Australia
588,2022-06-14,Chile,Ghana,Ghana,Chile
589,2022-07-12,Zambia,Botswana,Zambia,Unknown
590,2022-07-13,South Africa,Mozambique,Mozambique,Unknown
591,2022-07-13,Senegal,Eswatini,Senegal,Unknown
592,2022-07-17,Mozambique,Senegal,Senegal,Unknown
593,2022-09-22,Thailand,Malaysia,Malaysia,Unknown
594,2022-09-23,Iraq,Oman,Oman,Unknown
595,2022-09-25,Malaysia,Tajikistan,Tajikistan,Unknown
596,2022-11-16,Lithuania,Iceland,Iceland,Lithuania
597,2022-11-16,Latvia,Estonia,Latvia,Latvia
598,2022-11-19,Latvia,Iceland,Iceland,Iceland
599,2022-12-05,Japan,Croatia,Croatia,Japan
600,2022-12-06,Morocco,Spain,Morocco,Morocco
601,2022-12-09,Croatia,Brazil,Croatia,Croatia
602,2022-12-09,Netherlands,Argentina,Argentina,Netherlands
603,2022-12-18,Argentina,France,Argentina,France
604,2023-06-16,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
605,2023-06-17,Guyana,Grenada,Guyana,Guyana
606,2023-06-17,Suriname,Puerto Rico,Puerto Rico,Suriname
607,2023-06-18,Croatia,Spain,Spain,Croatia
608,2023-06-20,Saint Kitts and Nevis,French Guiana,Saint Kitts and Nevis,French Guiana
609,2023-07-01,India,Lebanon,India,India
610,2023-07-04,India,Kuwait,India,India
611,2023-07-09,United States,Canada,United States,Canada
612,2023-07-09,Orkney,Greenland,Greenland,Unknown
613,2023-07-12,United States,Panama,Panama,United States
614,2023-07-13,Åland,Falkland Islands,Åland,Åland
615,2023-07-14,Malawi,Lesotho,Lesotho,Unknown
616,2023-07-16,South Africa,Malawi,South Africa,Unknown
617,2023-09-07,Iraq,India,Iraq,India
618,2023-09-10,Thailand,Iraq,Iraq,Thailand
619,2023-10-13,Iraq,Qatar,Qatar,Qatar
620,2023-11-21,Mexico,Honduras,Mexico,Mexico
621,2023-12-02,Solomon Islands,New Caledonia,New Caledonia,Unknown
622,2024-01-28,Egypt,DR Congo,DR Congo,Egypt
623,2024-01-28,Tajikistan,United Arab Emirates,Tajikistan,Tajikistan
624,2024-01-29,Ivory Coast,Senegal,Ivory Coast,Senegal
625,2024-01-30,Saudi Arabia,South Korea,South Korea,Saudi Arabia
626,2024-01-31,Iran,Syria,Iran,Iran
627,2024-02-03,Cape Verde,South Africa,South Africa,Cape Verde
628,2024-02-03,Qatar,Uzbekistan,Qatar,Uzbekistan
629,2024-02-07,Nigeria,South Africa,Nigeria,Nigeria
630,2024-03-23,Tunisia,Croatia,Croatia,Croatia
631,2024-03-26,New Zealand,Tunisia,Tunisia,New Zealand
632,2024-03-26,Wales,Poland,Poland,Poland
633,2024-03-26,Georgia,Greece,Georgia,Georgia
634,2024-03-26,Turks and Caicos Islands,Anguilla,Anguilla,Turks and Caicos Islands
635,2024-03-26,British Virgin Islands,United States Virgin Islands,British Virgin Islands,British Virgin Islands
