,date,home_team,away_team,winner,first_shooter
107,1987-06-21,South Korea,Australia,South Korea,Unknown
108,1987-07-19,DR Congo,Senegal,DR Congo,Unknown
109,1987-08-08,Ivory Coast,Madagascar,Ivory Coast,Unknown
110,1987-08-09,Cameroon,Egypt,Egypt,Unknown
111,1987-08-10,Kenya,Malawi,Malawi,Unknown
112,1987-12-13,Malawi,Zimbabwe,Zimbabwe,Unknown
113,1987-12-18,Equatorial Guinea,Gabon,Gabon,Unknown
114,1987-12-27,Ethiopia,Zimbabwe,Ethiopia,Unknown
115,1988-01-06,South Korea,Egypt,South Korea,Unknown
116,1988-03-23,Algeria,Nigeria,Nigeria,Unknown
117,1988-03-26,Morocco,Algeria,Algeria,Unknown
118,1988-03-31,Germany,Sweden,Sweden,Sweden
119,1988-05-05,Mali,Senegal,Mali,Unknown
120,1988-05-08,Guinea,Mali,Guinea,Unknown
121,1988-05-28,Canada,Greece,Canada,Unknown
122,1988-07-19,Egypt,Syria,Syria,Unknown
123,1988-07-21,Iraq,Syria,Iraq,Unknown
124,1988-09-29,Chile,Ecuador,Ecuador,Unknown
125,1988-10-16,Eswatini,Tanzania,Eswatini,Unknown
126,1988-12-06,Central African Republic,Gabon,Gabon,Unknown
127,1988-12-17,China PR,Iran,Iran,Unknown
128,1988-12-18,South Korea,Saudi Arabia,Saudi Arabia,South Korea
129,1989-04-23,Ghana,Gabon,Gabon,Unknown
130,1989-04-23,Kenya,Sudan,Kenya,Unknown
131,1989-08-30,Indonesia,Thailand,Indonesia,Unknown
132,1989-11-08,Iran,Uganda,Uganda,Unknown
133,1989-11-12,Iraq,Uganda,Iraq,Unknown
134,1989-12-11,Chad,Cameroon,Cameroon,Unknown
135,1989-12-16,Malawi,Uganda,Uganda,Unknown
136,1990-01-28,Nigeria,Senegal,Nigeria,Unknown
137,1990-02-04,United States,Colombia,Colombia,Colombia
138,1990-02-20,Colombia,Russia,Colombia,Colombia
139,1990-05-18,Zimbabwe,Eswatini,Zimbabwe,Unknown
140,1990-06-25,Republic of Ireland,Romania,Republic of Ireland,Romania
141,1990-06-30,Yugoslavia,Argentina,Argentina,Argentina
142,1990-07-03,Italy,Argentina,Argentina,Italy
143,1990-07-04,Germany,England,Germany,England
144,1990-08-03,China PR,South Korea,South Korea,Unknown
145,1990-10-01,Saudi Arabia,North Korea,North Korea,Unknown
146,1990-10-06,Iran,North Korea,Iran,Unknown
147,1990-12-17,Tanzania,Uganda,Uganda,Unknown
148,1990-12-17,Central African Republic,Equatorial Guinea,Central African Republic,Unknown
149,1991-01-21,Cameroon,Algeria,Cameroon,Unknown
150,1991-01-21,Senegal,Ivory Coast,Ivory Coast,Unknown
151,1991-01-22,Senegal,Algeria,Senegal,Unknown
152,1991-01-23,Ivory Coast,Cameroon,Ivory Coast,Unknown
153,1991-06-14,South Korea,Australia,South Korea,Unknown
154,1991-06-16,Italy,Russia,Italy,Russia
155,1991-07-07,United States,Honduras,United States,United States
156,1991-08-08,Czechoslovakia,Yugoslavia,Czechoslovakia,Unknown
157,1991-09-20,Fiji,Solomon Islands,Fiji,Unknown
158,1991-09-28,Egypt,Mali,Egypt,Unknown
159,1991-12-02,Indonesia,Singapore,Indonesia,Unknown
160,1991-12-04,Indonesia,Thailand,Indonesia,Unknown
161,1992-01-23,Cameroon,Ivory Coast,Ivory Coast,Ivory Coast
162,1992-01-26,Ghana,Ivory Coast,Ivory Coast,Ivory Coast
163,1992-06-22,Netherlands,Denmark,Denmark,Netherlands
164,1992-06-27,Cuba,Martinique,Martinique,Unknown
165,1992-08-29,Japan,South Korea,Japan,Unknown
166,1992-09-15,Syria,Egypt,Egypt,Unknown
167,1992-11-08,China PR,United Arab Emirates,China PR,Unknown
168,1992-11-25,Uganda,Zambia,Uganda,Unknown
169,1993-01-23,Japan,Switzerland,Switzerland,Unknown
170,1993-02-20,Finland,Estonia,Finland,Unknown
171,1993-02-24,Argentina,Denmark,Argentina,Argentina
172,1993-05-27,Bolivia,Paraguay,Bolivia,Unknown
173,1993-05-28,Martinique,Saint Kitts and Nevis,Martinique,Unknown
174,1993-05-30,Jamaica,Martinique,Martinique,Unknown
175,1993-06-17,Singapore,Myanmar,Singapore,Unknown
176,1993-06-26,Colombia,Uruguay,Colombia,Colombia
177,1993-06-27,Brazil,Argentina,Argentina,Brazil
178,1993-07-01,Colombia,Argentina,Argentina,Colombia
179,1993-08-15,Australia,Canada,Australia,Australia
180,1993-10-24,Burundi,Guinea,Guinea,Unknown
181,1993-12-26,Nepal,India,Nepal,Unknown
182,1994-01-29,Burkina Faso,Guinea,Burkina Faso,Unknown
183,1994-04-06,Nigeria,Ivory Coast,Nigeria,Nigeria
184,1994-07-05,Mexico,Bulgaria,Bulgaria,Mexico
185,1994-07-10,Romania,Sweden,Sweden,Sweden
186,1994-07-17,Brazil,Italy,Brazil,Italy
187,1994-12-08,Tanzania,Uganda,Tanzania,Unknown
188,1995-01-10,Denmark,Mexico,Denmark,Denmark
189,1995-01-13,Mexico,Nigeria,Mexico,Nigeria
190,1995-02-26,Japan,South Korea,Japan,Unknown
191,1995-03-31,India,Bangladesh,India,Unknown
192,1995-05-21,Antigua and Barbuda,Saint Kitts and Nevis,Antigua and Barbuda,Unknown
193,1995-06-09,Paraguay,Bolivia,Paraguay,Unknown
194,1995-07-16,Paraguay,Colombia,Colombia,Colombia
195,1995-07-17,United States,Mexico,United States,United States
196,1995-07-17,Brazil,Argentina,Brazil,Brazil
197,1995-07-23,Uruguay,Brazil,Uruguay,Uruguay
198,1995-08-24,Fiji,Solomon Islands,Solomon Islands,Unknown
199,1995-11-28,Mauritania,Sierra Leone,Sierra Leone,Unknown
200,1995-12-02,Gabon,Cameroon,Cameroon,Unknown
201,1995-12-02,Algeria,Ivory Coast,Ivory Coast,Unknown
202,1995-12-06,Ethiopia,Zanzibar,Zanzibar,Unknown
203,1995-12-07,Honduras,Costa Rica,Honduras,Unknown
204,1995-12-25,Bangladesh,Sri Lanka,Bangladesh,Unknown
205,1995-12-27,Sri Lanka,Nepal,Sri Lanka,Unknown
206,1996-01-28,Gabon,Tunisia,Tunisia,Tunisia
207,1996-02-22,Japan,Sweden,Sweden,Unknown
208,1996-04-28,Barbados,Jamaica,Jamaica,Unknown
209,1996-05-05,Guyana,Suriname,Suriname,Unknown
210,1996-06-05,Martinique,Suriname,Martinique,Unknown
211,1996-06-22,England,Spain,England,England
212,1996-06-22,France,Netherlands,France,Netherlands
213,1996-06-26,France,Czech Republic,Czech Republic,France
214,1996-06-26,England,Germany,Germany,England
215,1996-08-25,Ethiopia,Uganda,Ethiopia,Unknown
216,1996-11-29,Sudan,Kenya,Sudan,Unknown
217,1996-12-11,Morocco,Croatia,Croatia,Unknown
218,1996-12-12,Croatia,Czech Republic,Croatia,Unknown
219,1996-12-19,Iran,Saudi Arabia,Saudi Arabia,Iran
220,1996-12-21,Iran,Kuwait,Iran,Kuwait
221,1996-12-21,United Arab Emirates,Saudi Arabia,Saudi Arabia,Saudi Arabia
222,1996-12-27,Benin,Burkina Faso,Benin,Unknown
223,1997-02-07,Russia,Serbia,Russia,Unknown
224,1997-04-10,India,Iraq,Iraq,Unknown
225,1997-06-22,Ecuador,Mexico,Mexico,Ecuador
226,1997-07-10,Trinidad and Tobago,Jamaica,Trinidad and Tobago,Unknown
227,1997-10-18,Indonesia,Thailand,Thailand,Unknown
228,1997-10-20,Haiti,Cuba,Haiti,Unknown
229,1997-10-22,Cuba,Cameroon,Cuba,Unknown
230,1997-12-07,Gambia,Guinea,Guinea,Unknown
231,1998-01-31,Egypt,South Korea,South Korea,Unknown
232,1998-01-31,Iran,Chile,Iran,Unknown
233,1998-02-21,Burkina Faso,Tunisia,Burkina Faso,Burkina Faso
234,1998-02-21,Ivory Coast,Egypt,Egypt,Ivory Coast
235,1998-02-27,Burkina Faso,DR Congo,DR Congo,DR Congo
236,1998-04-22,Hungary,North Macedonia,Hungary,Unknown
237,1998-05-29,Belgium,England,Belgium,Belgium
238,1998-05-29,Morocco,France,Morocco,Morocco
239,1998-06-30,Argentina,England,Argentina,Argentina
240,1998-07-03,France,Italy,France,France
241,1998-07-07,Brazil,Netherlands,Brazil,Brazil
242,1998-08-15,Réunion,Madagascar,Réunion,Unknown
243,1998-09-05,Indonesia,Thailand,Indonesia,Unknown
244,1998-11-17,Guatemala,Honduras,Guatemala,Unknown
245,1998-11-18,Guatemala,Mexico,Guatemala,Unknown
246,1998-12-02,United Arab Emirates,North Korea,United Arab Emirates,Unknown
247,1998-12-14,Qatar,Kuwait,Kuwait,Unknown
248,1999-05-22,Malawi,Namibia,Namibia,Unknown
249,1999-06-16,Thailand,New Zealand,Thailand,Unknown
250,1999-06-19,New Zealand,Poland,Poland,Unknown
251,1999-07-10,Mexico,Peru,Mexico,Mexico
252,1999-07-10,Paraguay,Uruguay,Uruguay,Uruguay
253,1999-07-13,Uruguay,Chile,Uruguay,Uruguay
254,1999-07-18,Eswatini,Zimbabwe,Eswatini,Unknown
255,1999-07-31,Namibia,South Africa,Namibia,Unknown
256,1999-08-03,Rwanda,Kenya,Kenya,Unknown
257,1999-08-07,Rwanda,Burundi,Rwanda,Unknown
258,1999-08-07,Zambia,Mozambique,Zambia,Unknown
259,1999-08-14,Indonesia,Singapore,Indonesia,Unknown
260,1999-08-28,Namibia,Eswatini,Namibia,Unknown
261,1999-11-26,Gabon,Togo,Togo,Unknown
262,2000-02-04,Romania,Georgia,Romania,Unknown
263,2000-02-12,South Africa,Tunisia,South Africa,South Africa
264,2000-02-13,Nigeria,Cameroon,Cameroon,Nigeria
265,2000-02-19,United States,Colombia,Colombia,United States
266,2000-03-19,Suriname,Saint Lucia,Suriname,Unknown
267,2000-04-29,British Virgin Islands,Sint Maarten,British Virgin Islands,Unknown
268,2000-04-30,British Virgin Islands,Antigua and Barbuda,Antigua and Barbuda,Unknown
269,2000-05-10,Maldives,Sri Lanka,Sri Lanka,Unknown
270,2000-05-11,Senegal,Mali,Senegal,Unknown
271,2000-05-20,Malawi,Angola,Angola,Unknown
272,2000-05-21,Barbados,Cuba,Barbados,Unknown
273,2000-06-04,France,Japan,France,France
