,team,home_wins,away_wins,total_wins,home_losses,away_losses,total_losses,home_draws,away_draws,total_draws,home_games_played,away_games_played,total_games_played,home_win_pct,home_unbeaten_pct,away_win_pct,away_unbeaten_pct,win_pct,unbeaten_pct,home_friendly_wins,away_friendly_wins,total_friendly_wins,home_friendly_losses,away_friendly_losses,total_friendly_losses,home_friendly_draws,away_friendly_draws,total_friendly_draws,home_friendly_games_played,away_friendly_games_played,total_friendly_games_played,home_friendly_win_pct,home_friendly_unbeaten_pct,away_friendly_win_pct,away_friendly_unbeaten_pct,friendly_win_pct,friendly_unbeaten_pct,tournament_wins,tournament_losses,tournament_draws,tournament_games_played,tournament_win_pct,tournament_unbeaten_pct,home_goals_for,average_home_goals_for,home_goals_against,average_home_goals_against,home_goal_difference,average_home_goal_difference,away_goals_for,average_away_goals_for,away_goals_against,average_away_goals_against,away_goal_difference,average_away_goal_difference,goals_for,average_goals_for,goal_difference,average_goal_difference,goals_against,average_goals_against,friendly_home_goals_for,average_friendly_home_goals_for,friendly_home_goals_against,average_friendly_home_goals_against,friendly_home_goal_difference,average_friendly_home_goal_difference,friendly_away_goals_for,average_friendly_away_goals_for,friendly_away_goals_against,average_friendly_away_goals_against,friendly_away_goal_difference,average_friendly_away_goal_difference,friendly_goals_for,average_friendly_goals_for,friendly_goals_against,average_friendly_goals_against,friendly_goal_difference,friendly_average_goal_difference,tournament_goals_for,average_tournament_goals_for,tournament_goals_against,average_tournament_goals_against,tournament_goal_difference,average_tournament_goal_difference
75,Dominica,35.0,15.0,50.0,49.0,58.0,107.0,23.0,19.0,42.0,107.0,92.0,199.0,0.32710280373831774,0.5420560747663551,0.16304347826086957,0.3695652173913043,0.25125628140703515,0.4623115577889447,13.0,3.0,16.0,9.0,13.0,22.0,0.0,3.0,3.0,22.0,19.0,41.0,0.5909090909090909,0.5909090909090909,0.15789473684210525,0.3157894736842105,0.3902439024390244,0.4634146341463415,34.0,85.0,39.0,158.0,0.21518987341772153,0.4620253164556962,145.0,1.355140186915888,195.0,1.8224299065420562,-50.0,-0.4672897196261683,91.0,0.9891304347826086,202.0,2.1956521739130435,-111.0,-1.2065217391304348,236.0,1.185929648241206,-161.0,-0.8090452261306532,397.0,1.9949748743718594,36.0,1.6363636363636365,40.0,1.8181818181818181,-4.0,-0.18181818181818166,16.0,0.8421052631578947,38.0,2.0,-22.0,-1.1578947368421053,52.0,1.2682926829268293,78.0,1.9024390243902438,-26.0,-0.6341463414634146,184.0,1.1645569620253164,319.0,2.018987341772152,-135.0,-0.8544303797468354
76,Dominican Republic,35.0,17.0,52.0,29.0,35.0,64.0,12.0,9.0,21.0,76.0,61.0,137.0,0.4605263157894737,0.618421052631579,0.2786885245901639,0.4262295081967213,0.3795620437956204,0.5328467153284672,10.0,2.0,12.0,9.0,9.0,18.0,4.0,0.0,4.0,23.0,11.0,34.0,0.43478260869565216,0.6086956521739131,0.18181818181818182,0.18181818181818182,0.35294117647058826,0.47058823529411764,40.0,46.0,17.0,103.0,0.3883495145631068,0.5533980582524272,138.0,1.8157894736842106,93.0,1.2236842105263157,45.0,0.5921052631578949,76.0,1.2459016393442623,134.0,2.19672131147541,-58.0,-0.9508196721311477,214.0,1.562043795620438,-13.0,-0.0948905109489051,227.0,1.6569343065693432,32.0,1.391304347826087,25.0,1.0869565217391304,7.0,0.30434782608695654,9.0,0.8181818181818182,34.0,3.090909090909091,-25.0,-2.2727272727272725,41.0,1.2058823529411764,59.0,1.7352941176470589,-18.0,-0.5294117647058824,173.0,1.6796116504854368,168.0,1.6310679611650485,5.0,0.04854368932038835
77,Donetsk PR,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,6.0,0.5,1.0,0.25,0.5,0.3333333333333333,0.6666666666666666,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,6.0,0.5,1.0,0.25,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,2.0,1.0,3.0,1.5,3.0,0.75,5.0,1.25,-2.0,-0.5,8.0,1.3333333333333333,1.0,0.16666666666666666,7.0,1.1666666666666667,5.0,2.5,2.0,1.0,3.0,1.5,3.0,0.75,5.0,1.25,-2.0,-0.5,8.0,1.3333333333333333,7.0,1.1666666666666667,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
78,Délvidék,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.5,0.5,4.0,2.0,3.0,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.5,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.5,1.0,0.5
79,Ecuador,114.0,58.0,172.0,76.0,172.0,248.0,67.0,76.0,143.0,257.0,306.0,563.0,0.44357976653696496,0.7042801556420234,0.1895424836601307,0.43790849673202614,0.30550621669627,0.5595026642984015,56.0,32.0,88.0,23.0,56.0,79.0,27.0,44.0,71.0,106.0,132.0,238.0,0.5283018867924528,0.7830188679245284,0.24242424242424243,0.5757575757575758,0.3697478991596639,0.6680672268907563,84.0,169.0,72.0,325.0,0.25846153846153846,0.48,398.0,1.54863813229572,331.0,1.2879377431906616,67.0,0.2607003891050583,288.0,0.9411764705882353,557.0,1.8202614379084967,-269.0,-0.8790849673202614,686.0,1.2184724689165187,-202.0,-0.35879218472468916,888.0,1.5772646536412078,183.0,1.7264150943396226,112.0,1.0566037735849056,71.0,0.6698113207547169,127.0,0.9621212121212122,173.0,1.3106060606060606,-46.0,-0.3484848484848484,310.0,1.3025210084033614,285.0,1.1974789915966386,25.0,0.10504201680672269,376.0,1.156923076923077,603.0,1.8553846153846154,-227.0,-0.6984615384615385
80,Egypt,281.0,82.0,363.0,76.0,111.0,187.0,72.0,103.0,175.0,429.0,296.0,725.0,0.655011655011655,0.8228438228438228,0.27702702702702703,0.625,0.5006896551724138,0.7420689655172413,111.0,29.0,140.0,46.0,45.0,91.0,36.0,40.0,76.0,193.0,114.0,307.0,0.5751295336787565,0.7616580310880829,0.2543859649122807,0.6052631578947368,0.4560260586319218,0.7035830618892508,223.0,96.0,99.0,418.0,0.5334928229665071,0.7703349282296651,878.0,2.046620046620047,361.0,0.8414918414918415,517.0,1.2051282051282053,303.0,1.0236486486486487,384.0,1.2972972972972974,-81.0,-0.2736486486486487,1181.0,1.6289655172413793,436.0,0.6013793103448276,745.0,1.0275862068965518,357.0,1.849740932642487,179.0,0.927461139896373,178.0,0.9222797927461139,111.0,0.9736842105263158,169.0,1.4824561403508771,-58.0,-0.5087719298245613,468.0,1.52442996742671,348.0,1.1335504885993486,120.0,0.39087947882736157,713.0,1.7057416267942584,397.0,0.9497607655502392,316.0,0.7559808612440191
81,El Salvador,143.0,47.0,190.0,111.0,155.0,266.0,73.0,59.0,132.0,327.0,261.0,588.0,0.43730886850152906,0.6605504587155964,0.18007662835249041,0.4061302681992337,0.3231292517006803,0.5476190476190477,45.0,6.0,51.0,65.0,54.0,119.0,40.0,24.0,64.0,150.0,84.0,234.0,0.3,0.5666666666666667,0.07142857142857142,0.35714285714285715,0.21794871794871795,0.49145299145299143,139.0,147.0,68.0,354.0,0.3926553672316384,0.5847457627118644,536.0,1.6391437308868502,416.0,1.27217125382263,120.0,0.3669724770642202,204.0,0.7816091954022989,489.0,1.8735632183908046,-285.0,-1.0919540229885056,740.0,1.2585034013605443,-165.0,-0.28061224489795916,905.0,1.5391156462585034,165.0,1.1,208.0,1.3866666666666667,-43.0,-0.2866666666666666,38.0,0.4523809523809524,164.0,1.9523809523809523,-126.0,-1.5,203.0,0.8675213675213675,372.0,1.5897435897435896,-169.0,-0.7222222222222222,537.0,1.5169491525423728,533.0,1.5056497175141244,4.0,0.011299435028248588
82,Elba Island,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Ellan Vannin,9.0,2.0,11.0,1.0,5.0,6.0,2.0,3.0,5.0,12.0,10.0,22.0,0.75,0.9166666666666666,0.2,0.5,0.5,0.7272727272727273,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.5,0.5,0.75,9.0,5.0,4.0,18.0,0.5,0.7222222222222222,41.0,3.4166666666666665,14.0,1.1666666666666667,27.0,2.25,13.0,1.3,18.0,1.8,-5.0,-0.5,54.0,2.4545454545454546,22.0,1.0,32.0,1.4545454545454546,12.0,6.0,1.0,0.5,11.0,5.5,2.0,1.0,6.0,3.0,-4.0,-2.0,14.0,3.5,7.0,1.75,7.0,1.75,40.0,2.2222222222222223,25.0,1.3888888888888888,15.0,0.8333333333333334
84,England,331.0,274.0,605.0,85.0,117.0,202.0,116.0,138.0,254.0,532.0,529.0,1061.0,0.6221804511278195,0.8402255639097744,0.5179584120982986,0.77882797731569,0.5702167766258247,0.8096135721017907,122.0,111.0,233.0,33.0,58.0,91.0,49.0,50.0,99.0,204.0,219.0,423.0,0.5980392156862745,0.8382352941176471,0.5068493150684932,0.7351598173515982,0.5508274231678487,0.7848699763593381,372.0,111.0,155.0,638.0,0.5830721003134797,0.8260188087774295,1222.0,2.2969924812030076,469.0,0.881578947368421,753.0,1.4154135338345866,1101.0,2.0812854442344046,557.0,1.052930056710775,544.0,1.0283553875236295,2323.0,2.1894439208294063,1297.0,1.2224316682375118,1026.0,0.9670122525918945,436.0,2.1372549019607843,203.0,0.9950980392156863,233.0,1.142156862745098,486.0,2.219178082191781,278.0,1.269406392694064,208.0,0.9497716894977168,922.0,2.1796690307328603,481.0,1.1371158392434988,441.0,1.0425531914893618,1401.0,2.195924764890282,545.0,0.85423197492163,856.0,1.341692789968652
